Layer,Layer_Drop,Ratio,Total_Channels,Pruned,Remaining
model.8.m.0.cv1.conv,0.0012000203132629,0.8,128,102,26
model.6.m.1.cv1.conv,0.0051000118255615,0.8,64,51,13
model.8.m.0.cv2.conv,0.0056999921798706,0.8,128,102,26
model.6.m.0.cv2.conv,0.0091000199317932,0.8,64,51,13
model.6.m.1.cv2.conv,0.0097000002861022,0.8,64,51,13
model.6.m.0.cv1.conv,0.010200023651123,0.8,64,51,13
model.4.m.0.cv2.conv,0.0400000214576721,0.8,32,25,7
model.4.m.1.cv1.conv,0.0422999858856201,0.8,32,25,7
model.4.m.0.cv1.conv,0.0537999868392944,0.8,32,25,7
model.2.m.0.cv1.conv,0.057200014591217,0.8,16,12,4
model.2.m.0.cv2.conv,0.3551000356674194,0.8,16,12,4
model.4.m.1.cv2.conv,0.4143999814987182,0.8,32,25,7
